"name","type","number","percent"
"xtable","built-in",182,6.30630630630631
"xtable","special",27,0.935550935550936
"xtable","primitive",1085,37.5952875952876
"xts","closure",522,59.9311136624569
"xts","built-in",129,14.8105625717566
"xts","special",20,2.29621125143513
"xts","primitive",200,22.9621125143513
"zoo","closure",1165,62.0671283963772
"zoo","built-in",167,8.89717634523175
"zoo","special",25,1.3319126265317
"zoo","primitive",520,27.7037826318594
