"name","classification","number","percent"
"jsonlite","accessed 1+ times, never forced",203,0.653742110009017
"jsonlite","never accessed",2844,9.15883034909185
"knitr","accessed 2+ times, forced 2+ times",0,0
"knitr","accessed 2+ times, forced once",6811,23.8680964395851
"knitr","accessed once, forced once",17523,61.4066442388562
"knitr","accessed 1+ times, never forced",283,0.991729744883656
"knitr","never accessed",3919,13.7335295766751
"lazyeval","accessed 2+ times, forced 2+ times",0,0
"lazyeval","accessed 2+ times, forced once",3919,19.8149458994843
"lazyeval","accessed once, forced once",11811,59.717868338558
"lazyeval","accessed 1+ times, never forced",272,1.37526544645566
"lazyeval","never accessed",3776,19.0919203155021
"lme4","accessed 2+ times, forced 2+ times",0,0
"lme4","accessed 2+ times, forced once",0,0
"lme4","accessed once, forced once",0,0
"lme4","accessed 1+ times, never forced",0,0
"lme4","never accessed",0,0
"lmtest","accessed 2+ times, forced 2+ times",0,0
"lmtest","accessed 2+ times, forced once",16303,19.9408001761317
"lmtest","accessed once, forced once",51705,63.2422911799601
"lmtest","accessed 1+ times, never forced",958,1.17176510879802
"lmtest","never accessed",12791,15.6451435351101
"lubridate","accessed 2+ times, forced 2+ times",0,0
"lubridate","accessed 2+ times, forced once",39521,17.215228470619
"lubridate","accessed once, forced once",143805,62.6410245241103
"lubridate","accessed 1+ times, never forced",3767,1.64089384501459
"lubridate","never accessed",42477,18.5028531602561
"magrittr","accessed 2+ times, forced 2+ times",0,0
"magrittr","accessed 2+ times, forced once",5527,23.811985696437
"magrittr","accessed once, forced once",13660,58.851406660635
"magrittr","accessed 1+ times, never forced",318,1.37004006720951
"magrittr","never accessed",3706,15.9665675757184
"markdown","accessed 2+ times, forced 2+ times",0,0
"markdown","accessed 2+ times, forced once",3318,21.6692789968652
"markdown","accessed once, forced once",9831,64.2045454545455
"markdown","accessed 1+ times, never forced",261,1.70454545454545
"markdown","never accessed",1902,12.4216300940439
"mvtnorm","accessed 2+ times, forced 2+ times",0,0
"mvtnorm","accessed 2+ times, forced once",16079,27.6856586944918
"mvtnorm","accessed once, forced once",32471,55.9102570725072
"mvtnorm","accessed 1+ times, never forced",1334,2.29695060006543
"mvtnorm","never accessed",8193,14.1071336329356
"nloptr","accessed 2+ times, forced 2+ times",0,0
"nloptr","accessed 2+ times, forced once",4638,25.4723198594025
"nloptr","accessed once, forced once",10954,60.1603690685413
"nloptr","accessed 1+ times, never forced",519,2.85039543057996
"nloptr","never accessed",2097,11.5169156414763
"proto","accessed 2+ times, forced 2+ times",0,0
"proto","accessed 2+ times, forced once",0,0
"proto","accessed once, forced once",0,0
"proto","accessed 1+ times, never forced",0,0
"proto","never accessed",0,0
"psych","accessed 2+ times, forced 2+ times",0,0
"psych","accessed 2+ times, forced once",1937358,39.4084174819806
"psych","accessed once, forced once",2554961,51.9712772436373
"psych","accessed 1+ times, never forced",47180,0.959703439839125
"psych","never accessed",376603,7.6606018345429
"purrr","accessed 2+ times, forced 2+ times",0,0
"purrr","accessed 2+ times, forced once",0,0
"purrr","accessed once, forced once",0,0
"purrr","accessed 1+ times, never forced",0,0
"purrr","never accessed",0,0
"quantreg","accessed 2+ times, forced 2+ times",0,0
