"name","type","no.of.forces","number","percent_within_type","percent_overall"
"digest","BCODE",0,257,1.02284486189604,0.522804019691607
"digest","BCODE",1,24869,98.977155138104,50.5899344969283
"dplyr","NIL",0,5994,11.0129163834126,0.765755867728896
"dplyr","NIL",1,48433,88.9870836165874,6.18749648677238
"dplyr","SYM",0,3340,19.5321637426901,0.426697463832919
"dplyr","SYM",1,13760,80.4678362573099,1.75789134800628
"dplyr","CLOS",0,1,0.0064316953949061,0.000127753731686503
"dplyr","CLOS",1,15547,99.9935683046051,1.98618726653006
"dplyr","ENV",0,1,0.0126550240445457,0.000127753731686503
"dplyr","ENV",1,7901,99.9873449759555,1.00938223405506
"dplyr","PROM",0,3950,69.3469101123596,0.504627240161685
"dplyr","PROM",1,1746,30.6530898876404,0.223058015524633
"dplyr","LANG",0,16011,20.6157292954265,2.04546499803259
"dplyr","LANG",1,61653,79.3842707045736,7.87640081966794
"dplyr","LGL",0,7411,18.7406751801745,0.946782905528671
"dplyr","LGL",1,32134,81.2593248198255,4.10523841401407
"dplyr","INT",0,4133,16.5214262871762,0.528006173060315
"dplyr","INT",1,20883,83.4785737128238,2.66788117880923
"dplyr","REAL",0,50,0.204106625301057,0.00638768658432513
"dplyr","REAL",1,24447,99.7958933746989,3.12319547853993
"dplyr","STR",0,1324,5.04477043246333,0.169145940752929
"dplyr","STR",1,24921,94.9552295675367,3.18375074735933
"dplyr","VEC",0,774,83.4051724137931,0.098881388325353
"dplyr","VEC",1,154,16.5948275862069,0.0196740746797214
"dplyr","BCODE",0,20366,3.69258328528587,2.60183249952731
"dplyr","BCODE",1,531172,96.3074167147141,67.8592051673829
"foreach","NIL",0,2510,9.77642751421672,0.41494118911234
"foreach","NIL",1,23164,90.2235724857833,3.8293616352981
"foreach","SYM",0,127969,99.5302279638804,21.1552227209231
"foreach","SYM",1,604,0.469772036119559,0.0998503897306189
"foreach","PROM",0,15822,99.5971295480297,2.61561732834081
"foreach","PROM",1,64,0.402870451970288,0.0105801737462907
"foreach","LANG",0,3351,3.55091660485324,0.553971284747192
"foreach","LANG",1,91019,96.4490833951468,15.0468255345881
"foreach","LGL",0,19478,37.6146611822413,3.22000975359767
"foreach","LGL",1,32305,62.3853388177587,5.34050801365504
"foreach","INT",0,160,0.440601420939583,0.0264504343657268
"foreach","INT",1,36154,99.5593985790604,5.97680627536555
"foreach","REAL",0,4333,11.7345971563981,0.71631082566684
"foreach","REAL",1,32592,88.2654028436019,5.38795348029856
"foreach","STR",0,112333,92.2486285845679,18.5703540225325
"foreach","STR",1,9439,7.75137141543212,1.5604103123631
"foreach","VEC",0,299,95.5271565495208,0.049429249220952
"foreach","VEC",1,14,4.47284345047923,0.0023144130070011
"foreach","BCODE",0,3011,0.787068138509354,0.497764111720022
"foreach","BCODE",1,379548,99.2129318614906,62.7450591415181
"forecast","NIL",0,7925,28.7085672885347,1.12938554300999
"forecast","NIL",1,19680,71.2914327114653,2.80458138630116
"forecast","SYM",0,16192,56.6193440100706,2.30750923815998
"forecast","SYM",1,12406,43.3806559899294,1.76796934341729
"forecast","CLOS",0,0,0,0
"forecast","CLOS",1,117,100,0.0166735783636807
"forecast","ENV",0,0,0,0
"forecast","ENV",1,43,100,0.00612789632169461
"forecast","PROM",0,4167,22.3659492244109,0.593835906337242
"forecast","PROM",1,14464,77.6340507755891,2.06125331155793
"forecast","LANG",0,27284,52.3343691257145,3.88822147072362
"forecast","LANG",1,24850,47.6656308742855,3.54135403707235
"forecast","LGL",0,9578,23.7998210913428,1.36495327835328
"forecast","LGL",1,30666,76.2001789086572,4.37018764188574
"forecast","INT",0,33,0.430472214975215,0.00470280415385865
"forecast","INT",1,7633,99.5695277850248,1.08777285170918
"forecast","REAL",0,7864,12.5961045617632,1.12069248078619
"forecast","REAL",1,54568,87.4038954382368,7.77644294144724
"forecast","STR",0,7440,15.6750379234788,1.06026857286995
"forecast","STR",1,40024,84.3249620765211,5.70378889254663
"forecast","VEC",0,1313,90.8022130013831,0.187114601636861
"forecast","VEC",1,133,9.19778699861687,0.0189537258322182
"forecast","BCODE",0,10021,1.97596348184444,1.42808486138841
"forecast","BCODE",1,497124,98.0240365181556,70.8447518843281
"Formula","NIL",0,172,15.2753108348135,0.650997312743651
"Formula","NIL",1,954,84.7246891651865,3.61076416486885
"Formula","SYM",0,808,83.1275720164609,3.05817342265622
"Formula","SYM",1,164,16.8724279835391,0.620718367964876
"Formula","PROM",0,245,76.5625,0.927292683849968
"Formula","PROM",1,75,23.4375,0.283865107301011
"Formula","LANG",0,208,9.16703393565447,0.787252564248136
"Formula","LANG",1,2061,90.8329660643455,7.80061314863177
"Formula","LGL",0,226,15.9717314487633,0.855380190000378
"Formula","LGL",1,1189,84.0282685512367,4.50020816774535
"Formula","INT",0,492,33.1313131313131,1.86215510389463
"Formula","INT",1,993,66.8686868686869,3.75837402066538
"Formula","REAL",0,10,0.714796283059328,0.0378486809734681
"Formula","REAL",1,1389,99.2852037169407,5.25718178721472
"Formula","STR",0,157,8.08444902162719,0.594224291283449
"Formula","STR",1,1785,91.9155509783728,6.75598955376405
"Formula","VEC",0,88,90.7216494845361,0.333068392566519
"Formula","VEC",1,9,9.27835051546392,0.0340638128761213
"Formula","BCODE",0,123,0.686230752064271,0.465538775973657
"Formula","BCODE",1,17801,99.3137692479357,67.3744370008705
"gdata","NIL",0,69,17.1641791044776,0.395189003436426
"gdata","NIL",1,333,82.8358208955224,1.90721649484536
"gdata","SYM",0,400,73.9371534195933,2.29095074455899
"gdata","SYM",1,141,26.0628465804067,0.807560137457045
"gdata","PROM",0,166,67.2064777327935,0.950744558991982
"gdata","PROM",1,81,32.7935222672065,0.463917525773196
"gdata","LANG",0,599,33.5198656966984,3.43069873997709
"gdata","LANG",1,1188,66.4801343033016,6.80412371134021
"gdata","LGL",0,470,22.2432560340748,2.69186712485682
"gdata","LGL",1,1643,77.7567439659252,9.41008018327606
"gdata","INT",0,54,17.2523961661342,0.309278350515464
"gdata","INT",1,259,82.7476038338658,1.48339060710195
"gdata","REAL",0,2,0.809716599190283,0.011454753722795
"gdata","REAL",1,245,99.1902834008097,1.40320733104238
"gdata","STR",0,168,5.81314878892734,0.962199312714777
"gdata","STR",1,2722,94.1868512110727,15.5899198167239
"gdata","VEC",0,94,87.037037037037,0.538373424971363
"gdata","VEC",1,14,12.962962962963,0.0801832760595647
"gdata","BCODE",0,172,1.56306797528172,0.985108820160367
"gdata","BCODE",1,10832,98.4369320247183,62.0389461626575
"ggplot2","NIL",0,115,4.10128388017118,0.0879749692087608
"ggplot2","NIL",1,2689,95.8987161198288,2.0570842800205
"ggplot2","SYM",0,2778,79.5077275329136,2.12516925619076
"ggplot2","SYM",1,716,20.4922724670864,0.547739808291067
"ggplot2","CLOS",0,0,0,0
"ggplot2","CLOS",1,10,100,0.00764999732250094
"ggplot2","ENV",0,23,92,0.0175949938417522
"ggplot2","ENV",1,2,8,0.00152999946450019
"ggplot2","PROM",0,578,70.7466340269278,0.442169845240554
"ggplot2","PROM",1,239,29.2533659730722,0.182834936007772
"ggplot2","LANG",0,8208,62.0408163265306,6.27911780230877
"ggplot2","LANG",1,5022,37.9591836734694,3.84182865535997
"ggplot2","LGL",0,2206,17.9890728206801,1.68758940934371
"ggplot2","LGL",1,10057,82.0109271793199,7.69360230723919
"ggplot2","INT",0,84,5.84958217270195,0.0642599775090079
"ggplot2","INT",1,1352,94.1504178272981,1.03427963800213
"ggplot2","REAL",0,14,1.31826741996234,0.0107099962515013
"ggplot2","REAL",1,1048,98.6817325800377,0.801719719398098
"ggplot2","STR",0,1146,5.05246450930253,0.876689693158607
"ggplot2","STR",1,21536,94.9475354906975,16.475034233738
"ggplot2","VEC",0,745,93.3583959899749,0.56992480052632
"ggplot2","VEC",1,53,6.64160401002506,0.040544985809255
"ggplot2","BCODE",0,2121,2.35368533191291,1.62256443210245
"ggplot2","BCODE",1,87993,97.6463146680871,67.3146214398825
"gridExtra","NIL",0,6232,17.1803495616695,0.416915308391558
"gridExtra","NIL",1,30042,82.8196504383305,2.00978332713402
"gridExtra","SYM",0,155233,86.8368351569667,10.3849509094266
"gridExtra","SYM",1,23531,13.1631648430333,1.57420316459592
"gridExtra","CLOS",0,0,0,0
"gridExtra","CLOS",1,118,100,0.00789409601896724
"gridExtra","ENV",0,12,66.6666666666667,0.000802789425657685
"gridExtra","ENV",1,6,33.3333333333333,0.000401394712828843
"gridExtra","PROM",0,28557,75.5116611137554,1.91043813570888
"gridExtra","PROM",1,9261,24.4883388862446,0.619552739251319
"gridExtra","LANG",0,39463,25.8561834561835,2.6400399253941
"gridExtra","LANG",1,113162,74.1438165438165,7.57043808218958
"gridExtra","LGL",0,52778,29.6149572985287,3.53080169228011
"gridExtra","LGL",1,125436,70.3850427014713,8.39155786639978
"gridExtra","INT",0,1953,4.89817415730337,0.130653979025788
"gridExtra","INT",1,37919,95.1018258426966,2.53674768595948
"gridExtra","REAL",0,17618,43.8717067583047,1.17862867510309
"gridExtra","REAL",1,22540,56.1282932416953,1.50790613786035
"gridExtra","STR",0,115430,64.6481957535942,7.72216528363888
"gridExtra","STR",1,63121,35.3518042464058,4.22273927807823
"gridExtra","VEC",0,39950,88.0984409111959,2.67261979625204
"gridExtra","VEC",1,5397,11.9015590888041,0.361054544189544
"gridExtra","BCODE",0,28709,2.62671769623985,1.92060680176721
"gridExtra","BCODE",1,1064252,97.3732823037601,71.1975209862536
"highr","NIL",0,52,29.3785310734463,0.643644015348434
"highr","NIL",1,125,70.6214689265537,1.54722119074143
"highr","SYM",0,406,71.4788732394366,5.02537442752816
"highr","SYM",1,162,28.5211267605634,2.00519866320089
"highr","PROM",0,9,3.515625,0.111399925733383
"highr","PROM",1,247,96.484375,3.05730907290506
"highr","LANG",0,124,13.4929270946681,1.5348434212155
"highr","LANG",1,795,86.5070729053319,9.84032677311548
"highr","LGL",0,223,18.3539094650206,2.76024260428271
"highr","LGL",1,992,81.6460905349794,12.278747369724
"highr","INT",0,0,0,0
"highr","INT",1,506,100,6.2631513801213
"highr","REAL",0,5,2.79329608938547,0.0618888476296571
"highr","REAL",1,174,97.2067039106145,2.15373189751207
"highr","STR",0,56,9.44350758853288,0.69315509345216
"highr","STR",1,537,90.5564924114671,6.64686223542518
"highr","VEC",0,354,98.8826815642458,4.38173041217973
"highr","VEC",1,4,1.11731843575419,0.0495110781037257
"highr","BCODE",0,61,1.3272410791993,0.755043941081817
"highr","BCODE",1,4535,98.6727589208007,56.133184800099
"htmlwidgets","NIL",0,43,11.025641025641,0.16578632841115
"htmlwidgets","NIL",1,347,88.974358974359,1.33785711531789
"htmlwidgets","SYM",0,288,44.3759630200308,1.11038285075375
"htmlwidgets","SYM",1,361,55.6240369799692,1.39183405945175
"htmlwidgets","PROM",0,513,69.7010869565217,1.97786945290512
"htmlwidgets","PROM",1,223,30.2989130434783,0.859775610132243
"htmlwidgets","LANG",0,1184,53.1179901301032,4.56490727532097
"htmlwidgets","LANG",1,1045,46.8820098698968,4.0289933299919
"htmlwidgets","LGL",0,255,14.2219743446737,0.983151482438216
"htmlwidgets","LGL",1,1538,85.7780256553263,5.92975286270579
"htmlwidgets","INT",0,8,2.15633423180593,0.030843968076493
"htmlwidgets","INT",1,363,97.8436657681941,1.39954505147087
"htmlwidgets","REAL",0,0,0,0
"htmlwidgets","REAL",1,295,100,1.13737132282068
"htmlwidgets","STR",0,177,3.52098667197135,0.682422793692409
"htmlwidgets","STR",1,4850,96.4790133280286,18.6991556463739
"htmlwidgets","VEC",0,123,96.09375,0.47422600917608
"htmlwidgets","VEC",1,5,3.90625,0.0192774800478081
"htmlwidgets","BCODE",0,368,2.13024602026049,1.41882253151868
"htmlwidgets","BCODE",1,16907,97.8697539797395,65.1848710336585
"iterators","NIL",0,23,14.2857142857143,0.442648190916089
"iterators","NIL",1,138,85.7142857142857,2.65588914549654
"iterators","SYM",0,241,88.2783882783883,4.63818321785989
"iterators","SYM",1,32,11.7216117216117,0.615858352578907
"iterators","PROM",0,12,85.7142857142857,0.23094688221709
"iterators","PROM",1,2,14.2857142857143,0.0384911470361817
"iterators","LANG",0,140,46.3576158940397,2.69438029253272
"iterators","LANG",1,162,53.6423841059603,3.11778290993072
"iterators","LGL",0,92,19.327731092437,1.77059276366436
"iterators","LGL",1,384,80.672268907563,7.39030023094688
"iterators","INT",0,0,0,0
"iterators","INT",1,52,100,1.00076982294072
"iterators","REAL",0,5,5.37634408602151,0.0962278675904542
"iterators","REAL",1,88,94.6236559139785,1.69361046959199
"iterators","STR",0,239,22.2739981360671,4.59969207082371
"iterators","STR",1,834,77.7260018639329,16.0508083140878
"iterators","VEC",0,21,84,0.404157043879908
"iterators","VEC",1,4,16,0.0769822940723634
"iterators","BCODE",0,60,1.68634064080944,1.15473441108545
"iterators","BCODE",1,3498,98.3136593591906,67.3210161662818
"jsonlite","NIL",0,42,11.5384615384615,0.149946447697251
"jsonlite","NIL",1,322,88.4615384615385,1.14958943234559
"jsonlite","SYM",0,240,40.4040404040404,0.856836843984291
"jsonlite","SYM",1,354,59.5959595959596,1.26383434487683
"jsonlite","CLOS",0,0,0,0
"jsonlite","CLOS",1,1,100,0.00357015351660121
"jsonlite","ENV",0,0,0,0
"jsonlite","ENV",1,1,100,0.00357015351660121
"jsonlite","PROM",0,276,72.8232189973615,0.985362370581935
"jsonlite","PROM",1,103,27.1767810026385,0.367725812209925
"jsonlite","LANG",0,1368,58.7628865979381,4.88397001071046
"jsonlite","LANG",1,960,41.2371134020619,3.42734737593717
"jsonlite","LGL",0,386,19.1183754333829,1.37807925740807
"jsonlite","LGL",1,1633,80.8816245666171,5.83006069260978
"jsonlite","INT",0,1,0.333333333333333,0.00357015351660121
"jsonlite","INT",1,299,99.6666666666667,1.06747590146376
"jsonlite","REAL",0,0,0,0
"jsonlite","REAL",1,250,100,0.892538379150303
"jsonlite","STR",0,172,2.91081401252327,0.614066404855409
"jsonlite","STR",1,5737,97.0891859874767,20.4819707247412
"jsonlite","VEC",0,105,92.9203539823009,0.374866119243127
"jsonlite","VEC",1,8,7.07964601769912,0.0285612281328097
"jsonlite","BCODE",0,457,2.43162711503671,1.63156015708675
"jsonlite","BCODE",1,18337,97.5683728849633,65.4659050339165
"knitr","NIL",0,105,24.3619489559165,0.431441837531331
"knitr","NIL",1,326,75.6380510440835,1.33952418128775
"knitr","SYM",0,1223,83.481228668942,5.02527016476969
"knitr","SYM",1,242,16.518771331058,0.994370711262686
"knitr","PROM",0,46,22.7722772277228,0.189012614537535
"knitr","PROM",1,156,77.2277227722772,0.64099930147512
"knitr","LANG",0,875,47.0683162990855,3.59534864609442
"knitr","LANG",1,984,52.9316837009145,4.04322636315076
"knitr","LGL",0,294,16.8192219679634,1.20803714508773
"knitr","LGL",1,1454,83.1807780320366,5.97444220733862
"knitr","INT",0,50,10.8932461873638,0.205448494062539
"knitr","INT",1,409,89.1067538126362,1.68056868143157
"knitr","REAL",0,41,18.6363636363636,0.168467765131282
"knitr","REAL",1,179,81.3636363636364,0.735505608743888
"knitr","STR",0,1205,19.0966719492868,4.95130870690718
"knitr","STR",1,5105,80.9033280507132,20.9762912437852
"knitr","VEC",0,148,83.6158192090395,0.608127542425114
"knitr","VEC",1,29,16.3841807909605,0.119160126556272
"knitr","BCODE",0,215,1.3724864347271,0.883428524468916
"knitr","BCODE",1,15450,98.6275135652729,63.4835846653244
"lazyeval","NIL",0,46,14.6031746031746,0.292397660818713
"lazyeval","NIL",1,269,85.3968253968254,1.70989066870074
"lazyeval","SYM",0,1274,88.2271468144044,8.09814391050089
"lazyeval","SYM",1,170,11.7728531855956,1.08060005085177
"lazyeval","PROM",0,39,22.4137931034483,0.24790236460717
"lazyeval","PROM",1,135,77.5862068965517,0.85812356979405
"lazyeval","LANG",0,1024,56.9521690767519,6.50902618866006
"lazyeval","LANG",1,774,43.0478309232481,4.91990846681922
"lazyeval","LGL",0,195,14.6067415730337,1.23951182303585
"lazyeval","LGL",1,1140,85.3932584269663,7.2463768115942
"lazyeval","INT",0,0,0,0
"lazyeval","INT",1,309,100,1.96414950419527
"lazyeval","REAL",0,15,10.7142857142857,0.09534706331045
"lazyeval","REAL",1,125,89.2857142857143,0.794558860920417
"lazyeval","STR",0,1159,30.9149106428381,7.36714975845411
"lazyeval","STR",1,2590,69.0850893571619,16.463259598271
"lazyeval","VEC",0,87,75.6521739130435,0.55301296720061
"lazyeval","VEC",1,28,24.3478260869565,0.177981184846173
"lazyeval","BCODE",0,209,2.00980863544572,1.32850241545894
"lazyeval","BCODE",1,10190,97.9901913645543,64.7724383422324
"lubridate","NIL",0,289,14.2154451549434,0.157641809444326
"lubridate","NIL",1,1744,85.7845548450566,0.951305590556765
"lubridate","SYM",0,4190,68.6097920419191,2.28553350024819
"lubridate","SYM",1,1917,31.3902079580809,1.04567248686773
"lubridate","CLOS",0,0,0,0
"lubridate","CLOS",1,223,100,0.121640565764999
"lubridate","ENV",0,1,0.444444444444444,0.000545473389080714
"lubridate","ENV",1,224,99.5555555555556,0.12218603915408
"lubridate","PROM",0,418,40.9803921568627,0.228007876635738
"lubridate","PROM",1,602,59.0196078431373,0.32837498022659
"lubridate","LANG",0,24177,83.2312035251997,13.1879101278044
"lubridate","LANG",1,4871,16.7687964748003,2.65700087821216
"lubridate","LGL",0,4705,17.776854195791,2.56645229562476
"lubridate","LGL",1,21762,82.223145804209,11.8705918931745
"lubridate","INT",0,26,1.47979510529311,0.0141823081160986
"lubridate","INT",1,1731,98.5202048947069,0.944214436498715
"lubridate","REAL",0,268,21.2193190815519,0.146186868273631
"lubridate","REAL",1,995,78.7806809184481,0.54274602213531
"lubridate","STR",0,1961,8.70510942424646,1.06967331598728
"lubridate","STR",1,20566,91.2948905757535,11.218205719834
"lubridate","VEC",0,498,96.3249516441006,0.271645747762195
"lubridate","VEC",1,19,3.67504835589942,0.0103639943925336
"lubridate","BCODE",0,9711,7.01748047086709,5.29709208136281
"lubridate","BCODE",1,128672,92.9825195291329,70.1871519197936
"magrittr","NIL",0,70,21.021021021021,0.364811340421097
"magrittr","NIL",1,263,78.978978978979,1.37064832186783
"magrittr","SYM",0,1231,74.6060606060606,6.41546800083385
"magrittr","SYM",1,419,25.3939393939394,2.18365645194914
"magrittr","PROM",0,25,10.2040816326531,0.130289764436106
"magrittr","PROM",1,220,89.7959183673469,1.14654992703773
"magrittr","LANG",0,710,39.2916436081904,3.70022930998541
"magrittr","LANG",1,1097,60.7083563918096,5.71711486345633
"magrittr","LGL",0,441,19.7846567967699,2.29831144465291
"magrittr","LGL",1,1788,80.2153432032301,9.31832395247029
"magrittr","INT",0,32,6.47773279352227,0.166770898478216
"magrittr","INT",1,462,93.5222672064777,2.40775484677924
"magrittr","REAL",0,4,1.53846153846154,0.0208463623097769
"magrittr","REAL",1,256,98.4615384615385,1.33416718782572
"magrittr","STR",0,1155,27.6845637583893,6.01938711694809
"magrittr","STR",1,3017,72.3154362416107,15.7233687721493
