"name","function_id","function_name","number","percent"
"colorspace",1302,"alpha<-",1,0.000127614990677725
"colorspace",1310,"alphaindex<-",1,0.000127614990677725
"colorspace",207,"attr<-",758,0.0967321629337155
"colorspace",112,"attributes<-",1704,0.217455944114843
"colorspace",1318,"b<-",1,0.000127614990677725
"colorspace",450,"base::body<-",5,0.000638074953388625
"colorspace",1221,"base::colnames<-",2,0.00025522998135545
"colorspace",924,"base::is.na<-",20,0.0025522998135545
"colorspace",925,"base::is.na<-.default",20,0.0025522998135545
"colorspace",1132,"base::mostattributes<-",18,0.00229706983219905
"colorspace",361,"base::parent.env<-",5,0.000638074953388625
"colorspace",440,"body<-",10,0.00127614990677725
"colorspace",441,"body<-",5,0.000638074953388625
"colorspace",105,"class<-",2282,0.291217408726568
"colorspace",1306,"coef<-",1,0.000127614990677725
"colorspace",1377,"cross<-",1,0.000127614990677725
"colorspace",65,"dim<-",104,0.0132719590304834
"colorspace",66,"dimnames<-",138,0.017610868713526
"colorspace",455,"environment<-",14,0.00178660986948815
"colorspace",1375,"error<-",1,0.000127614990677725
"colorspace",1365,"fitted<-",1,0.000127614990677725
"colorspace",1328,"kcall<-",2,0.00025522998135545
"colorspace",1330,"kernelf<-",1,0.000127614990677725
"colorspace",1335,"kernlab::SVindex<-",1,0.000127614990677725
"colorspace",1303,"kernlab::alpha<-",1,0.000127614990677725
"colorspace",1311,"kernlab::alphaindex<-",1,0.000127614990677725
"colorspace",1319,"kernlab::b<-",1,0.000127614990677725
"colorspace",1307,"kernlab::coef<-",1,0.000127614990677725
"colorspace",1378,"kernlab::cross<-",1,0.000127614990677725
"colorspace",1376,"kernlab::error<-",1,0.000127614990677725
"colorspace",1366,"kernlab::fitted<-",1,0.000127614990677725
"colorspace",1329,"kernlab::kcall<-",2,0.00025522998135545
"colorspace",1331,"kernlab::kernelf<-",1,0.000127614990677725
"colorspace",1287,"kernlab::lev<-",1,0.000127614990677725
"colorspace",1256,"kernlab::n.action<-",1,0.000127614990677725
