"name","strictness_ratio","number","percent"
"curl","1/1",4703,20.6462092277975
"curl","0/2",38,0.166820316958602
"curl","1/2",217,0.952631810000439
"curl","2/2",3182,13.9690065411124
"curl","1/3",18,0.0790201501382853
"curl","2/3",96,0.421440800737521
"curl","3/3",323,1.41797269414812
"curl","2/4",73,0.320470608894157
"curl","3/4",78,0.342420650599236
"curl","4/4",387,1.69893322797313
"curl","2/5",37,0.162430308617586
"curl","3/5",2,0.0087800166820317
"curl","4/5",38,0.166820316958602
"curl","5/5",191,0.838491593134027
"curl","4/6",28,0.122920233548444
"curl","5/6",10,0.0439000834101585
"curl","6/6",30,0.131700250230475
"curl","7/7",22,0.0965801835023486
"curl","6/8",4,0.0175600333640634
"curl","7/8",13,0.057070108433206
"curl","8/8",2,0.0087800166820317
"curl","7/10",3,0.0131700250230475
"curl","9/11",2,0.0087800166820317
"curl","7/14",1,0.00439000834101585
"curl","8/15",2,0.0087800166820317
"curl","9/15",4,0.0175600333640634
"curl","13/15",2,0.0087800166820317
"curl","15/15",2,0.0087800166820317
"curl","9/16",2,0.0087800166820317
"curl","10/16",4,0.0175600333640634
"curl","14/16",1,0.00439000834101585
"curl","16/16",3,0.0131700250230475
"curl","15/17",4,0.0175600333640634
"curl","9/18",2,0.0087800166820317
"curl","10/18",4,0.0175600333640634
"curl","16/18",2,0.0087800166820317
"curl","17/18",1,0.00439000834101585
"curl","22/22",1,0.00439000834101585
"data","0/0",56578,56.087792691873
"data","0/1",188,0.186371116442294
"data","1/1",20709,20.5295715446993
"data","0/2",81,0.0802981937863077
"data","1/2",1239,1.22826496421278
"data","2/2",11674,11.5728532624859
"data","1/3",75,0.0743501794317664
"data","2/3",1709,1.69419275531852
"data","3/3",1988,1.97077542280469
"data","2/4",3118,3.09098479290997
"data","3/4",1213,1.2024902353431
"data","4/4",827,0.819834645200944
"data","0/5",16,0.0158613716121102
"data","1/5",4,0.00396534290302754
"data","2/5",82,0.0812895295120646
"data","3/5",43,0.042627436207546
"data","4/5",693,0.686995657949521
"data","5/5",414,0.41041299046335
"data","1/6",2,0.00198267145151377
"data","2/6",1,0.000991335725756885
"data","3/6",24,0.0237920574181652
"data","4/6",12,0.0118960287090826
"data","5/6",36,0.0356880861272479
"data","6/6",38,0.0376707575787616
"data","5/7",21,0.0208180502408946
"data","6/7",4,0.00396534290302754
"data","7/7",36,0.0356880861272479
"data","4/8",1,0.000991335725756885
"data","7/8",1,0.000991335725756885
"data","8/8",8,0.00793068580605508
"data","10/10",2,0.00198267145151377
"data","7/11",2,0.00198267145151377
"data","6/12",2,0.00198267145151377
"data","7/12",3,0.00297400717727065
"data","6/13",2,0.00198267145151377
"data","7/13",17,0.016852707337867
"data","8/13",1,0.000991335725756885
"data","7/14",1,0.000991335725756885
"data","13/14",2,0.00198267145151377
"data","13/15",2,0.00198267145151377
"data","10/23",5,0.00495667862878442
"DBI","0/0",74542,54.6487588158531
"DBI","0/1",20,0.0146625416049618
"DBI","1/1",28138,20.6287297840208
"DBI","0/2",360,0.263925748889312
"DBI","1/2",1577,1.15614140555124
"DBI","2/2",15700,11.510095159895
"DBI","1/3",531,0.389290479611736
"DBI","2/3",1987,1.45672350845296
"DBI","3/3",2560,1.87680532543511
"DBI","1/4",7,0.00513188956173663
"DBI","2/4",5635,4.13117109719799
"DBI","3/4",1773,1.29983431327986
"DBI","4/4",1417,1.03884107271154
"DBI","2/5",349,0.255861351006583
"DBI","3/5",153,0.112168443277958
"DBI","4/5",815,0.597498570402194
"DBI","5/5",528,0.387091098370992
"DBI","1/6",48,0.0351900998519083
"DBI","2/6",1,0.00073312708024809
"DBI","3/6",4,0.00293250832099236
"DBI","4/6",47,0.0344569727716602
"DBI","5/6",32,0.0234600665679389
"DBI","6/6",57,0.0417882435741411
"DBI","7/7",53,0.0388557352531488
"DBI","6/8",3,0.00219938124074427
"DBI","8/8",17,0.0124631603642175
"DBI","5/9",3,0.00219938124074427
"DBI","9/9",1,0.00073312708024809
"DBI","9/10",5,0.00366563540124045
"DBI","10/10",12,0.00879752496297708
"DBI","10/11",3,0.00219938124074427
"DBI","11/11",24,0.0175950499259542
"digest","0/0",60579,69.5383167271225
"digest","0/1",154,0.17677579319528
"digest","1/1",13823,15.8673492814179
"digest","0/2",21,0.0241057899811745
"digest","1/2",729,0.836815280775059
"digest","2/2",5632,6.46494329399881
"digest","1/3",22,0.0252536847421828
"digest","2/3",304,0.348960007346526
"digest","3/3",2305,2.64589742412416
"digest","2/4",235,0.269755268836953
"digest","3/4",314,0.36043895495661
"digest","4/4",1490,1.71036319390238
"digest","2/5",15,0.0172184214151247
"digest","3/5",2,0.00229578952201662
"digest","4/5",123,0.141191055604022
"digest","5/5",638,0.732356857523302
"digest","4/6",52,0.0596905275724322
"digest","5/6",1,0.00114789476100831
"digest","6/6",101,0.115937370861839
"digest","6/8",13,0.014922631893108
"digest","7/8",129,0.148078424170072
"digest","8/8",1,0.00114789476100831
"digest","6/9",3,0.00344368428302493
"digest","7/9",2,0.00229578952201662
"digest","9/9",45,0.051655264245374
"digest","10/10",2,0.00229578952201662
"digest","7/11",3,0.00344368428302493
"digest","9/11",39,0.0447678956793241
"digest","8/12",1,0.00114789476100831
"digest","7/14",4,0.00459157904403324
"digest","14/14",3,0.00344368428302493
"digest","6/15",1,0.00114789476100831
"digest","8/15",3,0.00344368428302493
"digest","9/15",62,0.0711694751825153
"digest","13/15",42,0.0482115799623491
"digest","14/15",7,0.00803526332705817
"digest","15/15",23,0.0264015795031911
"digest","7/16",1,0.00114789476100831
"digest","9/16",3,0.00344368428302493
"digest","10/16",62,0.0711694751825153
"digest","14/16",1,0.00114789476100831
"digest","15/16",7,0.00803526332705817
"digest","16/16",21,0.0241057899811745
"digest","7/18",1,0.00114789476100831
"digest","9/18",3,0.00344368428302493
"digest","10/18",62,0.0711694751825153
"digest","16/18",22,0.0252536847421828
"digest","17/18",10,0.0114789476100831
"dplyr","0/0",709854,63.4788370789079
"dplyr","0/1",588,0.0525820185593063
"dplyr","1/1",189284,16.9267598656118
"dplyr","0/2",3475,0.31075257566937
"dplyr","1/2",17211,1.53909714527929
"dplyr","2/2",66654,5.96054738954423
"dplyr","0/3",20,0.00178850403262947
"dplyr","1/3",1791,0.160160536121969
"dplyr","2/3",10415,0.931363474991795
"dplyr","3/3",35517,3.17611488634504
"dplyr","1/4",71,0.00634918931583461
"dplyr","2/4",1400,0.125195282284063
"dplyr","3/4",1590,0.142186070594043
"dplyr","4/4",71090,6.35723758398144
"dplyr","0/5",1,8.94252016314734e-05
"dplyr","1/5",32,0.00286160645220715
"dplyr","2/5",387,0.0346075530313802
"dplyr","3/5",27,0.00241448044404978
"dplyr","4/5",595,0.0532079949707267
"dplyr","5/5",1633,0.146031354264196
"dplyr","0/6",1,8.94252016314734e-05
"dplyr","1/6",7,0.000625976411420314
"dplyr","2/6",66,0.00590206330767724
"dplyr","3/6",5,0.000447126008157367
"dplyr","4/6",610,0.0545493729951988
"dplyr","5/6",84,0.00751171693704376
"dplyr","6/6",2845,0.254414698641542
"dplyr","1/7",3,0.00026827560489442
"dplyr","2/7",2273,0.203263483308339
"dplyr","4/7",3,0.00026827560489442
"dplyr","6/7",1,8.94252016314734e-05
"dplyr","7/7",31,0.00277218125057567
"dplyr","1/8",326,0.0291526157318603
"dplyr","2/8",2,0.000178850403262947
"dplyr","4/8",5,0.000447126008157367
"dplyr","6/8",7,0.000625976411420314
"dplyr","7/8",17,0.00152022842773505
"dplyr","8/8",42,0.00375585846852188
"dplyr","7/10",1,8.94252016314734e-05
"dplyr","10/10",1,8.94252016314734e-05
"dplyr","2/11",228,0.0203889459719759
"dplyr","7/11",3,0.00026827560489442
"dplyr","9/11",5,0.000447126008157367
"dplyr","11/11",2,0.000178850403262947
"dplyr","8/12",4,0.000357700806525894
"dplyr","11/12",2,0.000178850403262947
"dplyr","6/13",1,8.94252016314734e-05
"dplyr","10/13",1,8.94252016314734e-05
"dplyr","7/14",4,0.000357700806525894
"dplyr","14/14",1,8.94252016314734e-05
"dplyr","9/15",7,0.000625976411420314
"dplyr","10/15",1,8.94252016314734e-05
"dplyr","13/15",8,0.000715401613051787
"dplyr","10/16",7,0.000625976411420314
"dplyr","11/16",1,8.94252016314734e-05
"dplyr","16/17",4,0.000357700806525894
"dplyr","10/18",7,0.000625976411420314
"dplyr","11/18",1,8.94252016314734e-05
"dplyr","17/18",1,8.94252016314734e-05
"foreach","0/0",671161,67.9050892317841
"foreach","0/1",456,0.0461360548209648
"foreach","1/1",147443,14.9176279187884
"foreach","0/2",88,0.00890344917597566
"foreach","1/2",9503,0.961471335446553
"foreach","2/2",56143,5.68029939871365
"foreach","1/3",725,0.0733522801429813
"foreach","2/3",14694,1.4866736612703
"foreach","3/3",14495,1.46653972506554
"foreach","0/4",2,0.00020235111763581
"foreach","1/4",3,0.000303526676453716
"foreach","2/4",362,0.0366255522920817
"foreach","3/4",220,0.0222586229399392
"foreach","4/4",66276,6.70551133621549
"foreach","1/5",2141,0.216616871429135
"foreach","2/5",63,0.00637406020552803
"foreach","3/5",7,0.000708228911725337
"foreach","4/5",3464,0.350472135745224
"foreach","5/5",744,0.0752746157605215
"foreach","3/6",2,0.00020235111763581
"foreach","4/6",10,0.00101175558817905
"foreach","5/6",26,0.00263056452926554
"foreach","6/6",49,0.00495760238207736
"foreach","4/7",2,0.00020235111763581
"foreach","5/7",2,0.00020235111763581
"foreach","7/7",203,0.0205386384400348
"foreach","4/8",2,0.00020235111763581
"foreach","6/8",3,0.000303526676453716
"foreach","7/8",1,0.000101175558817905
"foreach","8/8",2,0.00020235111763581
"foreach","7/9",2,0.00020235111763581
"foreach","8/9",26,0.00263056452926554
"foreach","8/10",17,0.00171998449990439
"foreach","9/10",5,0.000505877794089526
"foreach","8/11",3,0.000303526676453716
"foreach","9/11",24,0.00242821341162973
"foreach","10/11",3,0.000303526676453716
"foreach","11/12",1,0.000101175558817905
"foreach","18/20",8,0.000809404470543242
"forecast","0/0",717054,65.0384986217775
"forecast","0/1",3591,0.325712217700205
"forecast","1/1",192027,17.4173043799268
"forecast","0/2",5781,0.524350412287632
"forecast","1/2",8808,0.798906492203678
"forecast","2/2",76235,6.91469532619748
"forecast","0/3",124,0.0112470941227584
"forecast","1/3",3224,0.292424447191719
"forecast","2/3",4311,0.39101792550977
"forecast","3/3",23297,2.11309315949921
"forecast","1/4",20,0.00181404743915458
"forecast","2/4",7206,0.653601292327396
"forecast","3/4",2790,0.253059617762064
"forecast","4/4",46458,4.21385079641218
"forecast","1/5",73,0.00662127315291422
"forecast","2/5",760,0.0689338026878741
"forecast","3/5",254,0.0230384024772632
"forecast","4/5",2300,0.208615455502777
"forecast","5/5",3975,0.360541928531973
"forecast","1/6",28,0.00253966641481641
"forecast","2/6",1,9.07023719577291e-05
"forecast","3/6",10,0.000907023719577291
"forecast","4/6",189,0.0171427483000108
"forecast","5/6",211,0.0191382004830808
"forecast","6/6",685,0.0621311247910444
"forecast","5/7",21,0.00190474981111231
"forecast","6/7",51,0.00462582096984418
"forecast","7/7",140,0.0126983320740821
"forecast","4/8",10,0.000907023719577291
"forecast","5/8",289,0.0262129854957837
"forecast","6/8",1431,0.12979509427151
"forecast","7/8",283,0.0256687712640373
"forecast","8/8",292,0.0264850926116569
"forecast","5/9",5,0.000453511859788645
"forecast","6/9",1,9.07023719577291e-05
"forecast","7/9",62,0.0056235470613792
"forecast","8/9",52,0.00471652334180191
"forecast","9/9",26,0.00235826167090096
"forecast","8/10",5,0.000453511859788645
"forecast","9/10",1,9.07023719577291e-05
"forecast","10/10",57,0.00517003520159056
"forecast","6/11",4,0.000362809487830916
"forecast","7/11",12,0.00108842846349275
"forecast","10/11",13,0.00117913083545048
"forecast","11/11",10,0.000907023719577291
"forecast","9/12",10,0.000907023719577291
"forecast","10/12",19,0.00172334506719685
"forecast","11/12",19,0.00172334506719685
"forecast","12/12",9,0.000816321347619562
"forecast","11/13",6,0.000544214231746374
"forecast","12/13",3,0.000272107115873187
"forecast","13/13",68,0.00616776129312558
"forecast","10/14",10,0.000907023719577291
"forecast","12/14",8,0.000725618975661832
"forecast","14/14",20,0.00181404743915458
"forecast","1/15",4,0.000362809487830916
"forecast","13/15",12,0.00108842846349275
"forecast","1/16",2,0.000181404743915458
"forecast","15/16",30,0.00272107115873187
"forecast","16/16",27,0.00244896404285869
"forecast","1/17",1,9.07023719577291e-05
"forecast","15/17",2,0.000181404743915458
"forecast","16/18",57,0.00517003520159056
"forecast","17/19",5,0.000453511859788645
"forecast","1/20",1,9.07023719577291e-05
"forecast","22/22",2,0.000181404743915458
"forecast","23/29",1,9.07023719577291e-05
"forecast","19/31",10,0.000907023719577291
"forecast","25/31",2,0.000181404743915458
"forecast","27/31",1,9.07023719577291e-05
"forecast","28/31",1,9.07023719577291e-05
"Formula","0/0",27341,66.4309837937653
"Formula","0/1",36,0.0874699322108025
"Formula","1/1",6400,15.5502101708093
"Formula","0/2",17,0.0413052457662123
"Formula","1/2",285,0.692470296668853
"Formula","2/2",3659,8.8903467210924
"Formula","0/3",1,0.00242972033918896
"Formula","1/3",15,0.0364458050878344
"Formula","2/3",142,0.345020288164832
"Formula","3/3",477,1.15897660179313
"Formula","1/4",1,0.00242972033918896
"Formula","2/4",26,0.0631727288189129
"Formula","3/4",46,0.111767135602692
"Formula","4/4",2326,5.65152950895352
"Formula","1/5",1,0.00242972033918896
"Formula","2/5",14,0.0340160847486454
"Formula","3/5",58,0.14092377967296
"Formula","4/5",42,0.102048254245936
"Formula","5/5",85,0.206526228831062
"Formula","4/6",76,0.184658745778361
"Formula","5/6",1,0.00242972033918896
"Formula","6/6",44,0.106907694924314
"Formula","4/7",2,0.00485944067837792
"Formula","5/7",5,0.0121486016959448
"Formula","6/7",1,0.00242972033918896
"Formula","6/8",43,0.104477974585125
"Formula","6/9",5,0.0121486016959448
"Formula","7/11",4,0.00971888135675584
"Formula","13/15",4,0.00971888135675584
"gdata","0/0",15682,60.2945134376562
"gdata","0/1",25,0.0961205736475835
"gdata","1/1",4848,18.6397016417394
"gdata","0/2",66,0.25375831442962
"gdata","1/2",466,1.79168749279096
"gdata","2/2",3249,12.49182975124
"gdata","1/3",31,0.119189511323004
"gdata","2/3",123,0.472913222346111
"gdata","3/3",427,1.64173939790073
"gdata","1/4",6,0.02306893767542
"gdata","2/4",164,0.630550963128148
"gdata","3/4",58,0.222999730862394
"gdata","4/4",363,1.39567072936291
"gdata","1/5",1,0.00384482294590334
"gdata","2/5",32,0.123034334268907
"gdata","3/5",10,0.0384482294590334
"gdata","4/5",79,0.303741012726364
"gdata","5/5",286,1.09961936252836
"gdata","4/6",8,0.0307585835672267
"gdata","5/6",7,0.0269137606213234
"gdata","6/6",30,0.1153446883771
"gdata","4/7",3,0.01153446883771
"gdata","5/8",1,0.00384482294590334
"gdata","6/8",2,0.00768964589180668
"gdata","7/8",9,0.0346034065131301
"gdata","8/8",7,0.0269137606213234
"gdata","9/9",1,0.00384482294590334
"gdata","9/11",4,0.0153792917836134
"gdata","7/14",1,0.00384482294590334
"gdata","9/15",5,0.0192241147295167
"gdata","13/15",4,0.0153792917836134
"gdata","10/16",5,0.0192241147295167
"gdata","10/18",5,0.0192241147295167
"gdata","17/18",1,0.00384482294590334
"ggplot2","0/0",101938,56.8390532214447
"ggplot2","0/1",228,0.12712927597647
"ggplot2","1/1",34053,18.9874264685383
"ggplot2","0/2",376,0.209651788452424
"ggplot2","1/2",4910,2.73774010984416
"ggplot2","2/2",26682,14.8774707965095
"ggplot2","0/3",5,0.00278792271878224
"ggplot2","1/3",95,0.0529705316568625
"ggplot2","2/3",530,0.295519808190917
"ggplot2","3/3",2217,1.23616493350804
"ggplot2","0/4",1,0.000557584543756447
"ggplot2","1/4",5,0.00278792271878224
