"name","type","strict","number","percent"
"car","closure",FALSE,190,17.4311926605505
"car","built-in",FALSE,0,0
"car","special",FALSE,0,0
"car","primitive",FALSE,0,0
"car","closure",TRUE,476,43.6697247706422
"car","built-in",TRUE,0,0
"car","special",TRUE,0,0
"car","primitive",TRUE,0,0
"car","closure",NA,41,3.76146788990826
"car","built-in",NA,134,12.2935779816514
"car","special",NA,24,2.20183486238532
"car","primitive",NA,278,25.5045871559633
"checkmate","closure",FALSE,200,18.0831826401447
"checkmate","built-in",FALSE,0,0
"checkmate","special",FALSE,0,0
"checkmate","primitive",FALSE,0,0
"checkmate","closure",TRUE,525,47.4683544303797
"checkmate","built-in",TRUE,0,0
"checkmate","special",TRUE,0,0
"checkmate","primitive",TRUE,0,0
"checkmate","closure",NA,51,4.61121157323689
"checkmate","built-in",NA,130,11.754068716094
"checkmate","special",NA,21,1.89873417721519
"checkmate","primitive",NA,237,21.4285714285714
"colorspace","closure",FALSE,239,16.9383416017009
"colorspace","built-in",FALSE,0,0
"colorspace","special",FALSE,0,0
"colorspace","primitive",FALSE,0,0
"colorspace","closure",TRUE,679,48.1218993621545
"colorspace","built-in",TRUE,0,0
"colorspace","special",TRUE,0,0
"colorspace","primitive",TRUE,0,0
"colorspace","closure",NA,47,3.3309709425939
"colorspace","built-in",NA,129,9.14245216158753
"colorspace","special",NA,28,1.98440822111977
"colorspace","primitive",NA,367,26.0099220411056
"curl","closure",FALSE,82,14.1135972461274
"curl","built-in",FALSE,0,0
"curl","special",FALSE,0,0
"curl","primitive",FALSE,0,0
"curl","closure",TRUE,234,40.2753872633391
"curl","built-in",TRUE,0,0
"curl","special",TRUE,0,0
"curl","primitive",TRUE,0,0
"curl","closure",NA,24,4.13080895008606
"curl","built-in",NA,112,19.2771084337349
"curl","special",NA,22,3.78657487091222
"curl","primitive",NA,133,22.8915662650602
"data","closure",FALSE,121,15.8792650918635
"data","built-in",FALSE,0,0
"data","special",FALSE,0,0
"data","primitive",FALSE,0,0
"data","closure",TRUE,317,41.6010498687664
"data","built-in",TRUE,0,0
"data","special",TRUE,0,0
"data","primitive",TRUE,0,0
"data","closure",NA,30,3.93700787401575
"data","built-in",NA,119,15.6167979002625
"data","special",NA,22,2.88713910761155
"data","primitive",NA,190,24.9343832020997
"DBI","closure",FALSE,154,22.5806451612903
"DBI","built-in",FALSE,0,0
"DBI","special",FALSE,0,0
"DBI","primitive",FALSE,0,0
"DBI","closure",TRUE,314,46.0410557184751
"DBI","built-in",TRUE,0,0
"DBI","special",TRUE,0,0
"DBI","primitive",TRUE,0,0
"DBI","closure",NA,27,3.95894428152493
"DBI","built-in",NA,100,14.6627565982405
"DBI","special",NA,24,3.51906158357771
"DBI","primitive",NA,108,15.8357771260997
"digest","closure",FALSE,80,13.6054421768707
"digest","built-in",FALSE,0,0
"digest","special",FALSE,0,0
"digest","primitive",FALSE,0,0
"digest","closure",TRUE,235,39.9659863945578
"digest","built-in",TRUE,0,0
"digest","special",TRUE,0,0
"digest","primitive",TRUE,0,0
"digest","closure",NA,19,3.2312925170068
"digest","built-in",NA,97,16.4965986394558
"digest","special",NA,21,3.57142857142857
"digest","primitive",NA,160,27.2108843537415
"dplyr","closure",FALSE,293,22.2644376899696
"dplyr","built-in",FALSE,0,0
"dplyr","special",FALSE,0,0
"dplyr","primitive",FALSE,0,0
"dplyr","closure",TRUE,657,49.9240121580547
"dplyr","built-in",TRUE,0,0
"dplyr","special",TRUE,0,0
"dplyr","primitive",TRUE,0,0
"dplyr","closure",NA,45,3.41945288753799
"dplyr","built-in",NA,127,9.65045592705167
"dplyr","special",NA,26,1.97568389057751
"dplyr","primitive",NA,235,17.8571428571429
"foreach","closure",FALSE,117,14.1646489104116
"foreach","built-in",FALSE,0,0
"foreach","special",FALSE,0,0
"foreach","primitive",FALSE,0,0
"foreach","closure",TRUE,387,46.8523002421308
"foreach","built-in",TRUE,0,0
"foreach","special",TRUE,0,0
"foreach","primitive",TRUE,0,0
"foreach","closure",NA,37,4.47941888619855
"foreach","built-in",NA,121,14.6489104116223
"foreach","special",NA,21,2.54237288135593
"foreach","primitive",NA,184,22.2760290556901
"forecast","closure",FALSE,204,16.1010260457774
"forecast","built-in",FALSE,0,0
"forecast","special",FALSE,0,0
"forecast","primitive",FALSE,0,0
"forecast","closure",TRUE,510,40.2525651144436
"forecast","built-in",TRUE,0,0
"forecast","special",TRUE,0,0
"forecast","primitive",TRUE,0,0
"forecast","closure",NA,44,3.47277032359905
"forecast","built-in",NA,136,10.7340173638516
"forecast","special",NA,22,1.73638516179953
"forecast","primitive",NA,411,32.4388318863457
"Formula","closure",FALSE,89,16.952380952381
"Formula","built-in",FALSE,0,0
"Formula","special",FALSE,0,0
"Formula","primitive",FALSE,0,0
"Formula","closure",TRUE,220,41.9047619047619
"Formula","built-in",TRUE,0,0
"Formula","special",TRUE,0,0
"Formula","primitive",TRUE,0,0
"Formula","closure",NA,18,3.42857142857143
"Formula","built-in",NA,87,16.5714285714286
"Formula","special",NA,21,4
"Formula","primitive",NA,115,21.9047619047619
"gdata","closure",FALSE,95,15.702479338843
"gdata","built-in",FALSE,0,0
"gdata","special",FALSE,0,0
"gdata","primitive",FALSE,0,0
"gdata","closure",TRUE,255,42.1487603305785
"gdata","built-in",TRUE,0,0
"gdata","special",TRUE,0,0
"gdata","primitive",TRUE,0,0
"gdata","closure",NA,23,3.80165289256198
"gdata","built-in",NA,107,17.6859504132231
"gdata","special",NA,19,3.1404958677686
"gdata","primitive",NA,137,22.6446280991736
