"name","no.of.force.orders","number","calls","percent","percent.calls"
"viridis","8",1,5204,0.0921658986175115,0.276820142974093
"xml2","0",242,NA,42.4561403508772,NA
"xml2","1",281,8320,49.2982456140351,34.6118645477993
"xml2","2",34,1511,5.96491228070175,6.28588068890923
"xml2","3",8,330,1.40350877192982,1.37282635826608
"xml2","4",4,182,0.701754385964912,0.75713453698311
"xml2","5",1,63,0.175438596491228,0.262085032032615
"xtable","0",1453,NA,50.3465003465003,NA
"xtable","1",1149,875239,39.8128898128898,24.217403490947
"xtable","2",181,352562,6.27165627165627,9.75520538912828
"xtable","3",41,36461,1.42065142065142,1.00885672220207
"xtable","4",23,130621,0.796950796950797,3.61421447329356
"xtable","5",15,30971,0.51975051975052,0.85695130532131
"xtable","6",7,30083,0.242550242550243,0.832380811661909
"xtable","7",1,260,0.0346500346500346,0.00719406345883377
"xtable","8",3,1315,0.103950103950104,0.0363853594167939
"xtable","9",2,832,0.0693000693000693,0.0230210030682681
"xtable","10",2,2774,0.0693000693000693,0.076755123210788
"xtable",">10",9,31330,0.311850311850312,0.866884646789469
"xts","0",412,NA,47.3019517795637,NA
"xts","1",369,32904,42.3650975889782,31.774419390662
"xts","2",58,6714,6.65901262916188,6.48351117763507
"xts","3",21,916,2.41102181400689,0.884554101685095
"xts","4",4,588,0.459242250287026,0.567814205011829
"xts","5",2,223,0.229621125143513,0.215344502921153
"xts","6",3,318,0.34443168771527,0.307083192506398
"xts","10",1,455,0.114810562571757,0.439380039592487
"xts",">10",1,207,0.114810562571757,0.199893776254164
"zoo","0",822,NA,43.7932871603623,NA
"zoo","1",792,207844,42.1949920085242,23.703267803909
"zoo","2",140,80137,7.45871070857752,9.1391080425793
"zoo","3",56,14936,2.98348428343101,1.70335447700768
"zoo","4",31,3238,1.65157165689931,0.369273017980106
"zoo","5",9,29362,0.479488545551412,3.34854674303023
"zoo","6",4,147,0.213106020245072,0.0167644019898319
"zoo","7",5,184,0.26638252530634,0.0209840133750277
"zoo","8",5,4601,0.26638252530634,0.524714377926643
"zoo","9",1,40,0.053276505061268,0.00456174203804949
"zoo","10",2,2486,0.106553010122536,0.283512267664776
"zoo",">10",10,9985,0.53276505061268,1.1387248562481
