AFM
AzureML
BBmisc
BCEA
BatchExperiments
BatchJobs
BinQuasi
BioStatR
CEGO
CalibrateSSB
CodeDepends
DBI
DBItest
DYM
DepthProc
FinancialInstrument
HH
JuliaCall
KarsTS
LightningR
MIAmaxent
MOEADr
Matrix
Matrix.utils
MonoPoly
NLP
NMF
NMOF
PSCBS
PivotalR
QRAGadget
QuasiSeq
R.devices
R.oo
RDocumentation
ROptEst
RSA
RStoolbox
RcmdrMisc
Rcpp
RcppBDT
RcppRoll
RefManageR
Rmpfr
RobAStBase
RxODE
SOAR
SPOT
STAR
SciViews
SensMixed
SharpeR
ShinyStan
SoilR
SpatialVx
SuperLearner
TMB
TSclust
TeachingDemos
WVPlots
admixturegraph
aoos
aroma.affymetrix
assertive.code
assertive.matrices
batchtools
berryFunctions
bigrquery
bindr
biofiles
bit64
biwavelet
bmeta
bossMaps
calibrar
callr
captioner
car
changepointsHD
chillR
clusteredinterference
cmaes
cmaesr
coala
cobs
codetools
collectArgs
commandr
condformat
conditions
convexjlr
copula
corHMM
corpus
crosstalk
crunch
d3Network
dMod
dat
data.table
data.tree
dbplyr
devtools
dexter
diceR
diffrprojects
directlabels
distr
distrMod
diversitree
doc
dplyr
drake
dtwclust
dynamicGraph
ecolottery
ecr
editrules
edpclient
emoa
eply
esaddle
examples
expss
extracat
extremeStat
fSRM
fabricatr
factorstochvol
fail
fakemake
ff
ffbase
figures
filehash
flacco
foolbox
fracdiff
furrr
future
future.apply
g.data
gWidgets
gWidgets2RGtk2
gWidgets2tcltk
gWidgetsRGtk2
gWidgetstcltk
gasfluxes
ggpmisc
ggspectra
ggvis
gmDatabase
goodpractice
grapes
gridSVG
gsubfn
h2o
hergm
highlight
histry
htmltools
htmlwidgets
httpcache
httptest
httr
huxtable
hyperSpec
ids
igraph
inst
itertools
jaatha
jmotif
jsonlite
knitr
knitrBootstrap
kriens
lattice
lazyData
lazyeval
leaflet
learnr
lfe
lgcp
listarrays
loon
magick
matlib
matrixTests
mcGlobaloptim
mcMST
mcmc
memisc
memo
microplot
miniCRAN
mlr
mlrCPO
mlrMBO
mockery
modules
msgpack
multipanelfigure
mvbutils
needy
nimble
nlmixr
nor1mix
openNLP
opencpu
packagedocs
packrat
particles
patchDVI
patentsview
pbapply
pcalg
phonR
photobiology
pkgmaker
pkgnet
playwith
plotROC
plotly
pmatch
poio
pool
preText
prettymapr
processx
profvis
promises
psychotools
purrr
qdap
qtbase
quantmod
rJava
rLakeAnalyzer
redux
remotes
replyr
rethinker
reticulate
retistruct
reutils
rgl
rlang
rmarkdown
rmgarch
rmonad
robustX
robustbase
rosm
roxygen2
rprojroot
rquery
rroad
rscala
rsconnect
rsolr
rstackdeque
rstan
ruler
runjags
saeRobust
saeSim
scidb
setter
sfsmisc
shiny
shinyHeatmaply
sigr
simPATHy
smoof
soobench
sparklyr
sparr
spatstat
spatsurv
sperrorest
sstModel
stagePop
stepR
storr
stubthat
styler
supc
survHE
surveillance
switchr
synlik
sys
tableHTML
tables
taskscheduleR
testit
testthat
texreg
text2vec
textclean
tfdatasets
tfestimators
tfruns
timetools
track
trackr
translateSPSS2R
treecm
usethis
valaddin
vdmR
vegan
vignettes
visNetwork
vtreat
wheatmap
whisker
winRatioAnalysis
withr
wordspace
wrapr
wrswoR.benchmark
zooimage
